position,variable,label,block,type,n_valid,n_missing,min,max,mean,value_labels,derivation
1,WPID_RANDOM,Random unique case ID,harmonised,numeric,125911,0,111111964.0,211109306.0,161090983.280365,,As supplied.
2,Wave,World Risk Poll wave,harmonised,numeric,125911,0,2.0,2.0,,1 = 2019 (Wave 1) | 2 = 2021 (Wave 2) | 3 = 2023 (Wave 3) | 4 = 2025 (Wave 4),Constant.
3,Year,Year of fieldwork,harmonised,numeric,125911,0,2021.0,2021.0,2021.0,,Constant.
4,WP5,Gallup country code,harmonised,numeric,125911,0,1.0,198.0,79.978175,,As supplied.
5,Country,Country/area name,harmonised,string,125911,0,,,,,As supplied.
6,COUNTRY_ISO2,Country ISO alpha-2 code,harmonised,string,125911,0,,,,,"Mapped from WP5. Belarus, Rwanda and Turkmenistan added by hand: they appear only in 2019."
7,COUNTRY_ISO3,Country ISO alpha-3 code,harmonised,string,125911,0,,,,,"Mapped from WP5. Belarus, Rwanda and Turkmenistan added by hand: they appear only in 2019."
8,GlobalRegion,Global region (World Risk Poll report definition),harmonised,numeric,125911,0,1.0,15.0,,1 = Eastern Africa | 2 = Central/Western Africa | 3 = Northern Africa | 4 = Southern Africa | 5 = Latin America & the Caribbean | 6 = Northern America | 7 = Central Asia | 8 = Eastern Asia | 9 = Southeastern Asia | 10 = Southern Asia | 11 = Middle East | 12 = Eastern Europe | 13 = Northern/Western Europe | 14 = Southern Europe | 15 = Australia & New Zealand,As supplied; label wording standardised to the 2025 release.
9,CountryIncomeLevel,Country income group at time of fieldwork (World Bank FY2021-22),harmonised,numeric,125911,0,1.0,9.0,,1 = Low income | 2 = Lower-middle income | 3 = Upper-middle income | 4 = High income | 9 = Not classified,From CountryIncomeLevel2021. Classification contemporaneous with fieldwork.
10,WGT,Within-country survey weight,harmonised,numeric,125911,0,0.091364,7.307725,1.0,,As supplied.
11,PROJWT,Population projection weight (single-year or time-series analysis),harmonised,numeric,125911,0,104.054766,1470498.446103,42222.820103,,From PROJWT_2021 as supplied in 21_wrp.sav.
12,Age,Age in years,harmonised,numeric,125418,493,15.0,99.0,41.903977,,"Age 100 in the source files is Gallup's don't know/refused code and is set to missing here, matching LRF's own age-band treatment."
13,AgeGroups3,Age - 3 bands,harmonised,numeric,125418,493,1.0,3.0,,1 = 15-29 | 2 = 30-49 | 3 = 50 and over,Derived from Age. Identical banding in all four waves.
14,AgeGroups4,Age - 4 bands,harmonised,numeric,125418,493,1.0,4.0,,1 = 15-29 | 2 = 30-49 | 3 = 50-64 | 4 = 65 and over,Derived from Age. Identical banding in all four waves.
15,AgeGroups5,Age - 5 bands,harmonised,numeric,125418,493,1.0,5.0,,1 = 15-24 | 2 = 25-34 | 3 = 35-49 | 4 = 50-64 | 5 = 65 and over,Derived from Age. Identical banding in all four waves.
16,Gender,Gender,harmonised,numeric,125911,0,1.0,2.0,,1 = Male | 2 = Female,As supplied.
17,Education,Education level,harmonised,numeric,125911,0,1.0,9.0,,1 = Primary or less (up to 8 years) | 2 = Secondary (9-15 years) | 3 = Tertiary (16 years or more) | 9 = DK/Refused,As supplied (already 1-3 plus 9).
18,Urbanicity,Urban/rural - 6 categories,harmonised,numeric,125406,505,1.0,9.0,,1 = A rural area or on a farm | 2 = A small town or village | 3 = A large city | 6 = A suburb of a large city | 9 = DK/Refused,"From trended_wrp.sav, which holds the 6-category version for 2021. Missing for the 505 Jamaica cases absent from that file; Urbanicity2 covers them."
19,Urbanicity2,Urban/rural - 2 categories,harmonised,numeric,125911,0,1.0,9.0,,1 = Rural area or small town | 2 = Large city or suburb | 9 = DK/Refused,Native 2-group variable from 21_wrp.sav; full coverage.
20,EMP_2010,Employment status,harmonised,numeric,122411,3500,1.0,6.0,,"1 = Employed full time for an employer | 2 = Employed full time for self | 3 = Employed part time, does not want full time | 4 = Unemployed | 5 = Employed part time, wants full time | 6 = Out of workforce",As supplied.
21,INCOME_5,Per capita income quintile,harmonised,numeric,125911,0,1.0,5.0,,1 = Poorest 20% | 2 = Second 20% | 3 = Middle 20% | 4 = Fourth 20% | 5 = Richest 20%,As supplied.
22,HouseholdSize,Household size (Total people in household),harmonised,numeric,125911,0,1.0,4.0,,1 = 1-2 people | 2 = 3-4 people | 3 = 5-9 people | 4 = 10 or more | 9 = DK/Refused,Codes 1-4 as supplied; don't know and refused collapsed to 9. Note the definition is not identical across waves: see the wave notes.
23,ChildrenInHousehold,Children under 15 in household,harmonised,numeric,125911,0,0.0,9.0,,0 = None | 1 = One | 2 = Two | 3 = Three | 4 = Four | 5 = Five or more | 9 = DK/Refused,Recoded from 1-6 plus 7 to 0-5 plus 9 to match the later waves.
24,worry_score,"Worry score, 5 common items, 0-1 (comparable across all waves)",harmonised,numeric,121167,4744,0.0,1.0,0.423336,,"Mean of the five worry items asked in identical form in every wave (food, drinking water, violent crime, severe weather, mental health), scored very worried 1, somewhat worried 0.5, not worried 0. All five must be answered."
25,worry_score_core7,"Worry score, 7 items, 0-1 (comparable 2021-2025)",harmonised,numeric,120618,5293,0.0,1.0,0.437244,,"As worry_score plus worry about traffic accidents and about your own work. The six items put to everyone must be answered; the work item, asked of workers only, counts where present."
26,worry_index_published,Worry index as published by LRF for this wave,harmonised,numeric,118782,7129,0.006116,1.006116,0.430853,,"Worried.Index as published for wave 2 (from trend_wrp_21_OLD.sav): Rasch-weighted, min-max scaled, over the seven 2021 worry items. Not comparable across waves: both the item set and the construction change. Use worry_score for trends."
27,experience_score,"Experience score, 5 common items, any experience, 0-1 (comparable across waves)",harmonised,numeric,122669,3242,0.0,1.0,0.209403,,"Proportion of the five common items on which the respondent reports harm in the past two years. Counts personally experienced, knows someone who has, and both. This matches LRF's own harm_*_trended recode and is the series that lines up with 2019. All five items must be answered."
