position,variable,label,block,type,n_valid,n_missing,min,max,mean,value_labels,derivation
1,WPID_RANDOM,Random unique case ID,harmonised,numeric,143459,0,111112092.0,211110461.0,161084303.103667,,As supplied.
2,Wave,World Risk Poll wave,harmonised,numeric,143459,0,4.0,4.0,,1 = 2019 (Wave 1) | 2 = 2021 (Wave 2) | 3 = 2023 (Wave 3) | 4 = 2025 (Wave 4),Constant.
3,Year,Year of fieldwork,harmonised,numeric,143459,0,2025.0,2025.0,2025.0,,Constant.
4,WP5,Gallup country code,harmonised,numeric,143459,0,1.0,198.0,84.341192,,As supplied.
5,Country,Country/area name,harmonised,string,143459,0,,,,,As supplied.
6,COUNTRY_ISO2,Country ISO alpha-2 code,harmonised,string,143459,0,,,,,"Mapped from WP5. Belarus, Rwanda and Turkmenistan added by hand: they appear only in 2019."
7,COUNTRY_ISO3,Country ISO alpha-3 code,harmonised,string,143459,0,,,,,"Mapped from WP5. Belarus, Rwanda and Turkmenistan added by hand: they appear only in 2019."
8,GlobalRegion,Global region (World Risk Poll report definition),harmonised,numeric,143459,0,1.0,15.0,,1 = Eastern Africa | 2 = Central/Western Africa | 3 = Northern Africa | 4 = Southern Africa | 5 = Latin America & the Caribbean | 6 = Northern America | 7 = Central Asia | 8 = Eastern Asia | 9 = Southeastern Asia | 10 = Southern Asia | 11 = Middle East | 12 = Eastern Europe | 13 = Northern/Western Europe | 14 = Southern Europe | 15 = Australia & New Zealand,As supplied; label wording standardised to the 2025 release.
9,CountryIncomeLevel,Country income group at time of fieldwork (World Bank FY2024-25),harmonised,numeric,143459,0,1.0,9.0,,1 = Low income | 2 = Lower-middle income | 3 = Upper-middle income | 4 = High income | 9 = Not classified,From CountryIncomeLevel2025. Classification contemporaneous with fieldwork.
10,WGT,Within-country survey weight,harmonised,numeric,143459,0,0.060464,6.184818,1.0,,As supplied.
11,PROJWT,Population projection weight (single-year or time-series analysis),harmonised,numeric,143459,0,110.674615,1876220.533313,40435.892053,,As supplied.
12,Age,Age in years,harmonised,numeric,143187,272,15.0,99.0,43.272043,,"Age 100 in the source files is Gallup's don't know/refused code and is set to missing here, matching LRF's own age-band treatment."
13,AgeGroups3,Age - 3 bands,harmonised,numeric,143187,272,1.0,3.0,,1 = 15-29 | 2 = 30-49 | 3 = 50 and over,Derived from Age. Identical banding in all four waves.
