position,variable,label,block,type,n_valid,n_missing,min,max,mean,value_labels,derivation
1,WPID_RANDOM,Random unique case ID,harmonised,numeric,154195,0,111111576.0,211110054.0,161124399.199851,,As supplied.
2,Wave,World Risk Poll wave,harmonised,numeric,154195,0,1.0,1.0,,1 = 2019 (Wave 1) | 2 = 2021 (Wave 2) | 3 = 2023 (Wave 3) | 4 = 2025 (Wave 4),Constant.
3,Year,Year of fieldwork,harmonised,numeric,154195,0,2019.0,2019.0,2019.0,,Constant.
4,WP5,Gallup country code,harmonised,numeric,154195,0,1.0,198.0,85.267966,,From trend_wrp_21_OLD.sav; not held in 19_wrp.sav.
5,Country,Country/area name,harmonised,string,154195,0,,,,,As supplied.
6,COUNTRY_ISO2,Country ISO alpha-2 code,harmonised,string,154195,0,,,,,"Mapped from WP5. Belarus, Rwanda and Turkmenistan added by hand: they appear only in 2019."
7,COUNTRY_ISO3,Country ISO alpha-3 code,harmonised,string,154195,0,,,,,"Mapped from WP5. Belarus, Rwanda and Turkmenistan added by hand: they appear only in 2019."
8,GlobalRegion,Global region (World Risk Poll report definition),harmonised,numeric,154195,0,1.0,15.0,,1 = Eastern Africa | 2 = Central/Western Africa | 3 = Northern Africa | 4 = Southern Africa | 5 = Latin America & the Caribbean | 6 = Northern America | 7 = Central Asia | 8 = Eastern Asia | 9 = Southeastern Asia | 10 = Southern Asia | 11 = Middle East | 12 = Eastern Europe | 13 = Northern/Western Europe | 14 = Southern Europe | 15 = Australia & New Zealand,"From RegionReport; codes 1-15 are identical in every wave, only the label wording differed."
9,CountryIncomeLevel,Country income group at time of fieldwork (World Bank FY2019-20),harmonised,numeric,154195,0,1.0,4.0,,1 = Low income | 2 = Lower-middle income | 3 = Upper-middle income | 4 = High income | 9 = Not classified,From WBI (World Bank FY2019-20 classification). Classification contemporaneous with fieldwork.
10,WGT,Within-country survey weight,harmonised,numeric,154195,0,0.155955,4.010008,1.0,,As supplied.
11,PROJWT,Population projection weight (single-year or time-series analysis),harmonised,numeric,154195,0,115.13398,812144.705273,34770.31953,,From PROJWT_2019 in trend_wrp_21_OLD.sav; not held in 19_wrp.sav. Identical to PROJWT for 2019 in trended_wrp.sav.
12,Age,Age in years,harmonised,numeric,153690,505,15.0,99.0,42.272802,,"From trend_wrp_21_OLD.sav; not held in 19_wrp.sav. Age 100 in the source files is Gallup's don't know/refused code and is set to missing here, matching LRF's own age-band treatment."
13,AgeGroups3,Age - 3 bands,harmonised,numeric,153690,505,1.0,3.0,,1 = 15-29 | 2 = 30-49 | 3 = 50 and over,Derived from Age. Identical banding in all four waves.
14,AgeGroups4,Age - 4 bands,harmonised,numeric,153690,505,1.0,4.0,,1 = 15-29 | 2 = 30-49 | 3 = 50-64 | 4 = 65 and over,Derived from Age. Identical banding in all four waves.
15,AgeGroups5,Age - 5 bands,harmonised,numeric,153690,505,1.0,5.0,,1 = 15-24 | 2 = 25-34 | 3 = 35-49 | 4 = 50-64 | 5 = 65 and over,Derived from Age. Identical banding in all four waves.
16,Gender,Gender,harmonised,numeric,154195,0,1.0,2.0,,1 = Male | 2 = Female,From WP1219.
17,Education,Education level,harmonised,numeric,154195,0,1.0,9.0,,1 = Primary or less (up to 8 years) | 2 = Secondary (9-15 years) | 3 = Tertiary (16 years or more) | 9 = DK/Refused,Codes 1-3 as supplied; don't know and refused collapsed to 9.
18,Urbanicity,Urban/rural - 6 categories,harmonised,numeric,154195,0,1.0,9.0,,1 = A rural area or on a farm | 2 = A small town or village | 3 = A large city | 6 = A suburb of a large city | 9 = DK/Refused,From WP14 (6-category). Don't know and refused collapsed to 9.
19,Urbanicity2,Urban/rural - 2 categories,harmonised,numeric,154195,0,1.0,9.0,,1 = Rural area or small town | 2 = Large city or suburb | 9 = DK/Refused,"Collapsed from Urbanicity: rural area and small town to 1, large city and suburb to 2."
20,EMP_2010,Employment status,harmonised,numeric,154195,0,1.0,6.0,,"1 = Employed full time for an employer | 2 = Employed full time for self | 3 = Employed part time, does not want full time | 4 = Unemployed | 5 = Employed part time, wants full time | 6 = Out of workforce",As supplied.
21,INCOME_5,Per capita income quintile,harmonised,numeric,153115,1080,1.0,5.0,,1 = Poorest 20% | 2 = Second 20% | 3 = Middle 20% | 4 = Fourth 20% | 5 = Richest 20%,As supplied.
22,HouseholdSize,Household size (Total people in household),harmonised,numeric,154195,0,1.0,4.0,,1 = 1-2 people | 2 = 3-4 people | 3 = 5-9 people | 4 = 10 or more | 9 = DK/Refused,Codes 1-4 as supplied; don't know and refused collapsed to 9. Note the definition is not identical across waves: see the wave notes.
23,ChildrenInHousehold,Children under 15 in household,harmonised,numeric,153195,1000,0.0,9.0,,0 = None | 1 = One | 2 = Two | 3 = Three | 4 = Four | 5 = Five or more | 9 = DK/Refused,As supplied (already 0-5 plus 9; the value label in 19_wrp.sav was wrong).
